Work item ID,Work type,Summary,Parent,Sprint,Priority,Label,Label,Label,Description
1,Epic,Sprint 0 - Vorbereitung,,,High,LF5,Pflicht,,"Team, Regeln, Board und Backlog aufsetzen. Quelle: Sprintplan Projekt-Kontext.md."
2,Epic,Sprint 1 - Discovery Track,,,High,LF5,Pflicht,Fachgespraech,"Fachwissen aufbauen und Projektziel formulieren. Zugleich Vorbereitung auf das Fachgespraech."
3,Epic,Sprint 2 - Datenbank-Design (ERM),,,High,LF5,Pflicht,,"Conceptual & Logical Design: vollstaendiges, normalisiertes ERM. Endet mit Mid-Project-Checkpoint."
4,Epic,Sprint 3 - DB-Umsetzung & Testdaten,,,High,LF5,Pflicht,,"Lauffaehige DB mit neuer Struktur (DDL) und Testdaten (DML), reproduzierbar per Dump."
5,Epic,Sprint 4+ - SQL-Abfragen & DSGVO,,,High,LF5,Pflicht,,"Alle geforderten SQL-Abfragen und das DSGVO-Skript (Auskunft + Loeschung), jeweils getestet."
6,Epic,Sprint n - Continuous Improvement,,,Low,LF5,Optional,,"Optionale Weiterentwicklung (Adressen, Zahlung, GUI, NoSQL). Nur bei freier Kapazitaet."
7,Epic,Abschluss - Kompetenznachweis,,,High,LF5,Pflicht,,"Praesentation (Englisch), Fachgespraech und SuK-Reflexion nach Belbin. 100% der Note."
8,Story,V-1: Team bilden und Staerken/Kompetenzen klaeren,1,Sprint 0,High,LF5,Pflicht,,"DoD: Teamzusammensetzung dokumentiert. Owner: alle."
9,Story,V-2: Rollen und Teamregeln festlegen (Kommunikation/Tools),1,Sprint 0,High,LF5,Pflicht,,"DoD: Regeln in 00_projektsteuerung/entscheidungen/ festgehalten. Owner: alle."
10,Story,V-3: Scrum-Board einrichten (Trello/MeisterTask/Jira),1,Sprint 0,High,LF5,Pflicht,,"DoD: Board mit Spalten Backlog/Doing/Done. Owner: Scrum Master."
11,Story,"V-4: Repository und IDE einrichten, Ablage-/Namenskonventionen",1,Sprint 0,High,LF5,Pflicht,,"DoD: Repo erreichbar, erste Datei eingecheckt. Owner: Dev. Bewertung: Repo-Pflicht (Vorgabe)."
12,Story,V-5: Belbin-Teamrollen je Mitglied einschaetzen,1,Sprint 0,High,LF5,Pflicht,SuK,"DoD: Selbsteinschaetzung notiert. Owner: alle. Bewertung: SuK-Reflexion."
13,Story,V-6: Product Backlog ins Board uebertragen,1,Sprint 0,High,LF5,Pflicht,,"DoD: alle Aufgaben als Karten im Board. Owner: Product Owner."
14,Story,V-7: Zeitplan und Termine festlegen (Checkpoint/Abgabe),1,Sprint 0,Medium,LF5,Pflicht,,"DoD: Termine im Board/Kalender. Owner: Scrum Master."
15,Story,D-1: Grundverstaendnis Datenbanken zusammenfassen,2,Sprint 1,High,LF5,Pflicht,Fachgespraech,"DoD: Kurz-Zusammenfassung (1 Seite). Owner: A. Bewertung: Grundverstaendnis Datenbanken (Pflicht-Bereich)."
16,Story,D-2: ER-Modell-Grundlagen (PK/FK, Kardinalitaeten) zusammenfassen,2,Sprint 1,High,LF5,Pflicht,Fachgespraech,"DoD: Kurz-Zusammenfassung + Beispiele. Owner: B. Bewertung: Datenmodellierung (Pflicht-Bereich)."
17,Story,D-3: Normalisierung (1NF/2NF/3NF) zusammenfassen,2,Sprint 1,High,LF5,Pflicht,Fachgespraech,"DoD: Kurz-Zusammenfassung mit Beispiel. Owner: C. Bewertung: Normalisierung (waehlbarer Bereich)."
